Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/ids/sierra_ids.lib/omc_time.o,4,0,0,0,4,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_globals.o,8,0,0,28,36,0,0
modem_proc/sierra/ids/sierra_ids.lib/tree_init.o,2592,689,0,0,3281,0,0
modem_proc/sierra/ids/sierra_ids.lib/tree_add.o,912,0,0,0,912,0,0
modem_proc/sierra/ids/sierra_ids.lib/tree_exec.o,408,200,0,0,608,0,0
modem_proc/sierra/ids/sierra_ids.lib/tree_find.o,1016,101,0,0,1117,0,0
modem_proc/sierra/ids/sierra_ids.lib/tree_get.o,3344,243,0,0,3587,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_control.o,2100,611,0,0,2711,0,0
modem_proc/sierra/ids/sierra_ids.lib/omc_base64.o,1104,272,0,0,1376,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_external.o,260,314,0,0,574,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_get.o,1796,226,0,0,2022,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_init.o,88,26,0,0,114,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_read.o,968,285,0,0,1253,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_replace.o,2420,565,0,0,2985,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_session.o,172,40,0,0,212,0,0
modem_proc/sierra/ids/sierra_ids.lib/tman_util.o,976,108,0,0,1084,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_info.o,252,184,0,0,436,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_notification.o,668,381,0,0,1049,0,0
modem_proc/sierra/ids/sierra_ids.lib/trg_dm_user.o,248,0,0,0,248,0,0
modem_proc/sierra/ids/sierra_ids.lib/mgr.o,756,50,0,0,806,0,0
modem_proc/sierra/ids/sierra_ids.lib/wsm.o,3596,0,0,0,3596,0,0
modem_proc/sierra/ids/sierra_ids.lib/wsm_sm.o,880,0,0,0,880,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_alert.o,476,158,0,0,634,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_prot.o,1048,323,0,0,1371,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_queue.o,1044,414,0,0,1458,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_utils.o,4936,309,0,0,5245,0,0
