Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/rf/sierra_rf.lib/rfant.o,1372,305,21,12,1710,2,16
modem_proc/sierra/rf/sierra_rf.lib/rftask.o,432,237,0,352,1021,3,5
modem_proc/sierra/rf/sierra_rf.lib/rfpwr.o,1008,352,0,0,1360,0,3
modem_proc/sierra/rf/sierra_rf.lib/rfsar.o,1168,214,0,16,1398,3,3
modem_proc/sierra/rf/sierra_rf.lib/rfsar_cdma.o,832,219,0,0,1051,1,4
modem_proc/sierra/rf/sierra_rf.lib/rfsar_gsm.o,792,64,0,0,856,0,8
modem_proc/sierra/rf/sierra_rf.lib/rfsar_lte.o,2220,1208,0,0,3428,2,8
modem_proc/sierra/rf/sierra_rf.lib/rfsar_wcdma.o,1008,440,0,0,1448,0,10
modem_proc/sierra/rf/sierra_rf.lib/rftherm.o,196,108,0,0,304,0,6
modem_proc/sierra/rf/sierra_rf.lib/rfuser.o,1656,105,0,56,1817,0,10
modem_proc/sierra/sc/sierra_sc.lib/sctask.o,916,504,3,752,2175,7,11
modem_proc/sierra/sc/sierra_sc.lib/scnet.o,6168,1434,0,528,8130,9,100
modem_proc/sierra/sc/sierra_sc.lib/scuser.o,916,180,0,0,1096,0,14
modem_proc/sierra/sc/sierra_sc.lib/scsession.o,1416,352,0,96,1864,2,26
modem_proc/sierra/sc/sierra_sc.lib/scprofile.o,2176,633,0,24,2833,1,52
modem_proc/sierra/sl/sierra_sl.lib/sluser.o,5212,264,24,0,5500,0,5
modem_proc/sierra/sl/sierra_sl.lib/slvsprintf.o,48,0,0,0,48,0,0
modem_proc/sierra/sm/sierra_sm.lib/sm.o,200,195,0,0,395,3,3
modem_proc/sierra/sntp/sierra_sntp.lib/sntp_task.o,1520,463,0,360,2343,3,27
modem_proc/sierra/so/sierra_so.lib/sotask.o,10644,5481,8,15624,31757,50,187
modem_proc/sierra/so/sierra_so.lib/souser.o,7280,2809,0,0,10089,36,122
modem_proc/sierra/sp/sierra_sp.lib/spdecrypt.o,240,0,0,0,240,0,0
modem_proc/sierra/sp/sierra_sp.lib/spencrypt.o,264,62,0,0,326,1,0
modem_proc/sierra/sp/sierra_sp.lib/spcommon.o,372,0,5,256,633,0,0
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_user.o,796,40,0,0,836,0,5
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_utils.o,520,48,0,0,568,0,6
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_bscommon.o,80,8,0,8,96,0,1
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_modem.o,44,0,0,16,60,0,0
modem_proc/sierra/ssmem/sierra_ssmem.lib/ssmem_core.o,908,56,0,24,988,0,7
modem_proc/sierra/su/sierra_su.lib/suuser.o,352,59,0,56,467,1,1
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_backup.o,1256,677,0,8,1941,9,20
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_modem.o,2460,1144,0,0,3604,6,44
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_slot.o,716,187,0,2,905,2,7
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_user.o,3244,1424,12,4103,8783,20,35
modem_proc/sierra/swipart/sierra_swipart.lib/swipart_fota.o,1436,1126,0,23,2585,3,46
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_nas.o,5504,2525,16,80,8125,16,111
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_dms.o,8644,2604,0,0,11248,22,129
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_dms_im.o,1848,558,0,0,2406,3,25
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_wake.o,2448,926,156,48168,51698,14,30
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_wds.o,5088,1285,0,1064,7437,14,44
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_if.o,684,344,12,4,1044,6,2
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_omadm.o,3888,1557,56,196,5697,19,44
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_sar.o,1704,708,32,64,2508,6,27
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_loc.o,1784,673,16,280,2753,8,20
modem_proc/sierra/swiqmi/sierra_swiqmi.lib/swiqmi_swidms.o,2156,761,72,280,3269,9,34
modem_proc/sierra/ud/sierra_ud_modem.lib/uduser.o,1224,171,16,8,1419,1,14
modem_proc/sierra/ud/sierra_ud_modem.lib/uduser_modem.o,984,207,0,0,1191,1,1
modem_proc/sierra/ud/sierra_ud_modem.lib/ud_qapi_modem.o,12,0,1,0,13,0,0
modem_proc/sierra/ud/sierra_ud_modem.lib/ud_descriptor.o,0,380,0,0,380,0,0
modem_proc/sierra/uicc/sierra_uicc.lib/uiccuser.o,8964,8563,56,448,18031,14,257
modem_proc/sierra/uicc/sierra_uicc.lib/uicctask.o,1488,743,0,372,2603,4,20
modem_proc/sierra/usl/sierra_usl_modem.lib/usl.o,2076,7476,144,20,9716,0,17
modem_proc/sierra/usl/sierra_usl_modem.lib/usldsat.o,1000,132,0,16,1148,0,15
modem_proc/sierra/usl/sierra_usl_modem.lib/usluser.o,5064,1164,50,9752,16030,0,85
modem_proc/sierra/aa/sierra_aa.lib/aaversion_util.o,452,0,0,0,452,0,0
modem_proc/sierra/aa/sierra_aa.lib/aaversion.o,96,326,0,0,422,5,0
modem_proc/sierra/al/sierra_al.lib/altask.o,6736,2711,8,328,9783,5,77
modem_proc/sierra/al/sierra_al.lib/aluser.o,4708,959,0,8,5675,1,56
modem_proc/sierra/al/sierra_al.lib/dtls.o,14436,6040,9,0,20485,0,0
modem_proc/sierra/al/sierra_al.lib/crypto.o,2136,131,0,180,2447,0,0
modem_proc/sierra/al/sierra_al.lib/ccm.o,1716,0,0,4,1720,0,0
modem_proc/sierra/al/sierra_al.lib/hmac.o,384,0,0,0,384,0,0
modem_proc/sierra/al/sierra_al.lib/dtls_debug.o,4,0,0,0,4,0,0
modem_proc/sierra/al/sierra_al.lib/netq.o,356,23,0,0,379,0,0
modem_proc/sierra/al/sierra_al.lib/peer.o,152,14,0,0,166,0,0
modem_proc/sierra/al/sierra_al.lib/dtls_time.o,40,0,4,0,44,0,0
modem_proc/sierra/al/sierra_al.lib/session.o,184,0,0,0,184,0,0
modem_proc/sierra/al/sierra_al.lib/rijndael.o,1952,5160,8,0,7120,0,0
modem_proc/sierra/al/sierra_al.lib/sha2.o,1456,288,0,0,1744,0,0
modem_proc/sierra/al/sierra_al.lib/ecc.o,3268,236,0,0,3504,0,0
modem_proc/sierra/al/sierra_al.lib/liblwm2m.o,1884,612,0,0,2496,0,0
modem_proc/sierra/al/sierra_al.lib/utils.o,2352,64,56,0,2472,0,0
modem_proc/sierra/al/sierra_al.lib/objects.o,10936,4322,2,52,15312,0,0
modem_proc/sierra/al/sierra_al.lib/data.o,2828,921,0,0,3749,0,0
modem_proc/sierra/al/sierra_al.lib/list.o,276,0,0,0,276,0,0
modem_proc/sierra/al/sierra_al.lib/packet.o,3536,2330,0,324,6190,0,0
modem_proc/sierra/al/sierra_al.lib/transaction.o,1756,272,0,0,2028,0,0
modem_proc/sierra/al/sierra_al.lib/registration.o,3176,617,0,0,3793,0,0
modem_proc/sierra/al/sierra_al.lib/bootstrap.o,3748,764,0,0,4512,0,0
modem_proc/sierra/al/sierra_al.lib/management.o,2300,172,0,0,2472,0,0
modem_proc/sierra/al/sierra_al.lib/observe.o,4672,1104,0,4,5780,0,0
modem_proc/sierra/al/sierra_al.lib/discover.o,2384,28,0,0,2412,0,0
modem_proc/sierra/al/sierra_al.lib/block1.o,292,0,0,0,292,0,0
modem_proc/sierra/al/sierra_al.lib/acl.o,1808,960,3,0,2771,0,0
modem_proc/sierra/al/sierra_al.lib/er-coap-13.o,4260,232,4,0,4496,0,0
modem_proc/sierra/al/sierra_al.lib/handlers.o,5036,1812,0,2048,8896,0,0
modem_proc/sierra/al/sierra_al.lib/lwm2mcoreCoapHandlers.o,260,112,0,8,380,0,0
modem_proc/sierra/al/sierra_al.lib/bootstrapConfiguration.o,2700,1127,0,16,3843,0,0
modem_proc/sierra/al/sierra_al.lib/aclConfiguration.o,2040,1009,0,12,3061,0,0
modem_proc/sierra/al/sierra_al.lib/dtlsConnection.o,3452,1770,28,0,5250,0,0
modem_proc/sierra/al/sierra_al.lib/lwm2mcoreSession.o,6040,3240,4,32,9316,0,0
modem_proc/sierra/al/sierra_al.lib/paramStorage.o,1052,400,0,56,1508,0,24
modem_proc/sierra/al/sierra_al.lib/timer.o,260,40,0,1360,1660,0,3
modem_proc/sierra/al/sierra_al.lib/time.o,4,0,0,0,4,0,0
modem_proc/sierra/al/sierra_al.lib/device.o,2176,296,0,0,2472,0,13
modem_proc/sierra/al/sierra_al.lib/connectivity.o,3296,663,0,256,4215,6,24
modem_proc/sierra/al/sierra_al.lib/platform.o,180,221,0,0,401,5,0
modem_proc/sierra/al/sierra_al.lib/debug.o,164,98,0,6412,6674,1,2
modem_proc/sierra/al/sierra_al.lib/security.o,2264,836,0,12,3112,0,40
modem_proc/sierra/al/sierra_al.lib/udp.o,3896,943,0,1312,6151,2,62
modem_proc/sierra/al/sierra_al.lib/comm.o,240,227,0,0,467,0,0
modem_proc/sierra/al/sierra_al.lib/server.o,108,67,8,0,183,1,0
modem_proc/sierra/al/sierra_al.lib/sms.o,2708,720,4,2488,5920,2,64
modem_proc/sierra/al/sierra_al.lib/sim.o,32,8,0,0,40,0,1
modem_proc/sierra/al/sierra_al.lib/update.o,2420,931,0,1368,4719,0,0
modem_proc/sierra/al/sierra_al.lib/tableSelector.o,32,0,0,0,32,0,0
modem_proc/sierra/al/sierra_al.lib/objectsTable_generic.o,8,0,1264,0,1272,0,0
modem_proc/sierra/al/sierra_al.lib/objectsTable_vzw.o,676,129,1464,0,2269,0,2
modem_proc/sierra/al/sierra_al.lib/uri.o,1396,250,0,0,1646,0,0
modem_proc/sierra/al/sierra_al.lib/tlv.o,2136,288,0,0,2424,0,0
modem_proc/sierra/al/sierra_al.lib/workspace.o,284,1740,0,0,2024,0,0
modem_proc/sierra/at/sierra_at.lib/atsim_ex.o,15772,7275,1168,19295,43510,4,312
modem_proc/sierra/at/sierra_at.lib/atsp.o,2236,134,16,61,2447,1,4
modem_proc/sierra/at/sierra_at.lib/atutil.o,1804,107,0,0,1911,1,3
modem_proc/sierra/at/sierra_at.lib/atmep.o,3468,1105,0,432,5005,13,33
modem_proc/sierra/at/sierra_at.lib/atsim.o,5408,2848,0,0,8256,0,104
modem_proc/sierra/at/sierra_at.lib/atat.o,792,96,0,0,888,0,4
modem_proc/sierra/at/sierra_at.lib/atavms.o,2364,581,0,16,2961,0,41
modem_proc/sierra/at/sierra_at.lib/atda.o,4488,905,0,8,5401,15,3
modem_proc/sierra/at/sierra_at.lib/atgd.o,16808,12883,8,5008,34707,32,90
modem_proc/sierra/at/sierra_at.lib/atgps.o,15376,6934,8,80,22398,13,42
modem_proc/sierra/at/sierra_at.lib/atims.o,5888,1063,0,824,7775,3,72
modem_proc/sierra/at/sierra_at.lib/atmain.o,20,0,0,0,20,0,0
modem_proc/sierra/at/sierra_at.lib/atnv.o,8576,3160,0,2048,13784,13,42
modem_proc/sierra/at/sierra_at.lib/atqc.o,1436,611,0,0,2047,4,0
modem_proc/sierra/at/sierra_at.lib/atrf.o,9064,3751,24,10,12849,2,28
modem_proc/sierra/at/sierra_at.lib/atpc.o,3904,1176,280,142,5502,8,8
modem_proc/sierra/at/sierra_at.lib/atsc.o,1904,688,3,1,2596,3,15
modem_proc/sierra/at/sierra_at.lib/atso.o,104,80,8,23,215,0,10
modem_proc/sierra/at/sierra_at.lib/atsd.o,14864,10955,2,2504,28325,2,112
modem_proc/sierra/at/sierra_at.lib/atav.o,11628,4060,0,0,15688,0,337
modem_proc/sierra/at/sierra_at.lib/atvzw.o,2084,580,0,0,2664,0,34
modem_proc/sierra/at/sierra_at.lib/atplus.o,4868,2515,0,8,7391,13,64
modem_proc/sierra/at/sierra_at.lib/atdbi.o,176,254,0,0,430,0,2
modem_proc/sierra/at/sierra_at.lib/attcxo.o,364,128,0,0,492,0,1
modem_proc/sierra/at/sierra_at.lib/attm.o,580,890,0,0,1470,0,7
modem_proc/sierra/at/sierra_at.lib/atusl.o,1492,348,0,0,1840,0,18
modem_proc/sierra/at/sierra_at.lib/atuart.o,368,69,0,0,437,0,5
modem_proc/sierra/at/sierra_at.lib/atri.o,1932,329,12,8,2281,0,26
modem_proc/sierra/at/sierra_at.lib/atxm.o,4356,957,48,528,5889,6,65
modem_proc/sierra/at/sierra_at.lib/atmuxmode.o,56,8,0,0,64,0,1
modem_proc/sierra/at/sierra_at.lib/atap.o,5888,914,0,0,6802,0,36
modem_proc/sierra/at/sierra_at.lib/atbc.o,1700,182,0,88,1970,0,0
modem_proc/sierra/at/sierra_at.lib/atbs.o,5816,4172,736,0,10724,0,35
modem_proc/sierra/at/sierra_at.lib/atcust.o,2172,555,0,0,2727,0,15
modem_proc/sierra/at/sierra_at.lib/atdata.o,1004,445,0,0,1449,0,3
modem_proc/sierra/at/sierra_at.lib/atef.o,2100,344,0,262144,264588,0,16
modem_proc/sierra/at/sierra_at.lib/ater.o,1396,1049,0,0,2445,3,5
modem_proc/sierra/at/sierra_at.lib/atdm.o,2012,2385,0,0,4397,0,35
modem_proc/sierra/at/sierra_at.lib/atflog.o,432,16,120,0,568,0,2
modem_proc/sierra/at/sierra_at.lib/atfm.o,3360,963,1032,1024,6379,0,21
